Close,wma,Profit
27866.4140625,27850.267100694444,-0.02
27872.986328125,27855.598741319445,-0.02
27870.646484375,27859.97912326389,-0.02
27853.34765625,27860.309375,-0.05
27862.51171875,27861.903428819445,-0.05
27864.703125,27863.23298611111,-0.05
27857.68359375,27862.635807291666,-0.22
27855.158203125,27861.104991319444,-0.22
27849.19140625,27858.36150173611,-0.22
27857.0,27857.480555555554,-0.22
27857.326171875,27856.874045138888,-0.22
27860.34765625,27857.219835069445,-0.22
27875.154296875,27860.75581597222,-0.22
27878.572265625,27864.49079861111,-0.22
27881.751953125,27868.504817708334,-0.22
27884.818359375,27872.753255208332,-0.22
27880.798828125,27875.594791666666,-0.22
27884.263671875,27878.559505208334,-0.22
27882.810546875,27880.454210069445,-0.22
27885.73046875,27882.35933159722,-0.22
